Crop,Type,Regions
Apples,Fruit,"Northern High Plains, Southern High Plains, Trans-Pecos"
Beets,Root,"South Central, Coastal Bend, South East Texas"
Blackberries,Fruit,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, North East Texas, South East Texas, South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley"
Blueberries,Fruit,"North East Texas, South East Texas, South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley"
Broccoli,Leaf,"Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, South East Texas, South Central"
Cantaloupes,Fruit,"Cross Timbers, Blacklands, Trans-Pecos, Edwards Plateau, South Central, South Texas, Lower Valley"
Carrots,Root,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, North East Texas, South East Texas, South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley "
Cauliflower,Leaf,"South Central, Coastal Bend, South Texas, and Lower Valley"
Celery,Root,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Edwards Plateau, South Central"
Chinese Cabbage,Leaf,"South East Texas, Coastal Bend, Upper Coast"
Field Peas,Legume,"Edwards Plateau, South Central Texas"
Fresh Cucumbers,Fruit,"Northern High Plains, Southerns High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands"
Grapefruit,Fruit,Lower Valley
Green Cabbage,Leaf,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Trans-Pecos, Edwards Plateau, South Central, Coastal Bend, "
Green Onions,Root,"Southern Low Plains, Cross Timbers, Blacklands, Edwards Plateau, South Central, South Texas, Lower Valley"
Greens,Leaf,"Southern Low Plains, Cross Timbers, Blacklands, North East Texas, South East Texas, South Central, South Texas, Lower Valley"
Honeydew,Fruit,"Cross Timbers, Blacklands, Trans-Pecos, Edwards Plateau, South Central, South Texas, Lower Valley"
Hot Peppers,Fruit,"South Texas, Lower Valley"
Kale,Leaf,"South Central, South Texas, Lower Valley"
Kohlrabi,Leaf,"South Central, South Texas, Lower Valley"
Lettuce,Leaf,"Norther Low Plains, Southern Low Plains, Cross Timbers, Edwards Plateau"
Onions,Root,"Northern High Plains, Southern High Plains, Trans-Pecos, South Texas, Lower Valley"
Oranges,Fruit,Lower Valley
